category_id,category_name_ko
1316,반려동물 하우스/쿠션
501,보일러
502,온수기
831,블라우스
832,셔츠
490,드럼 세탁기
491,기타 세탁기
492,건조기
592,트롤리
593,빨래 바구니
594,수납박스
595,옷걸이
596,후크
597,신발정리대
598,기타 정리용품
1250,수험서/자격증
1285,축구 티켓
1286,야구 티켓
1287,기타 스포츠 경기 티켓
1028,마스카라
1029,아이브로우
1030,아이라이너
1031,속눈썹
1032,섀도우
873,골프 티셔츠
874,골프 바지
875,골프 치마
876,골프 아우터
877,골프 니트/스웨터
878,골프 조끼
879,골프 셔츠
880,골프 우비
881,골프 언더레이어
882,기타 골프웨어
883,골프 장갑
884,골프 모자
885,골프화
868,스포츠 유니폼
869,교복 
870,코스튬
871,기타 이벤트 의류
774,기저귀가방
775,아기띠
776,포대기
812,한글 학습책
813,히라나가 학습책
814,알파벳 학습책
815,유아 과학책
816,유아 영어책
817,유아 학습지
818,어린이 잡지
809,명작동화
810,창작동화
782,유아동 자전거
560,가전/가구 커버
561,시계
562,그림/포스터
563,패브릭포스터
564,기타 장식품
565,파티용품
566,조화
567,액자
1278,전시회 티켓
499,제습기
500,가습기
709,종이컵
710,비닐장갑/봉투
711,랩
712,호일
713,지퍼백
714,일회용 용기
715,주전자
716,티포트
403,기타 차량용 디지털 악세서리
404,블랙박스
405,차량용 단말기기
406,차량용 카메라
407,스마트키
408,차량용 오디오
409,차량용 충전기
1033,블러셔
1034,하이라이터
1035,쉐딩
551,암막커튼
552,일반커튼
553,블라인드
1267,컴퓨터/IT 도서
380,무선마우스
381,유선마우스
382,마우스패드
383,터치패드
384,무선키보드
385,유선키보드
439,3D 프린터
440,레이저 프린터
441,잉크젯 프린터
442,잉크젯 복합기
443,레이저 복합기
444,잉크/토너
445,포토 프린터
446,라벨 프린터
447,기타 프린터
448,스캐너
1247,건강/취미 도서
908,숄/망토
909,워머/바라클라바
989,숄/망토
990,워머/바라클라바
1248,경제/경영 도서
1268,과학/공학 도서
1253,사회/정치 도서
1254,인문/예술 도서
1264,종교/철학 도서
1303,강아지 배변용품
1295,강아지 목줄
1296,기타 반려동물 외출용품
1297,강아지 이동가방
1298,강아지 유모차
1299,강아지 카시트
1300,강아지 켄넬
1304,고양이 모래/화장실
1301,고양이 켄넬
1302,고양이 목줄
1014,남성 등산복
1015,등산화
1016,스키복
1017,보드복
1018,기타 남성 스포츠웨어
373,기타 노트북 악세서리
374,노트북 어댑터
375,노트북 충전기
651,마스크
652,기타 의약외품
653,건강보호대
1323,급수대
1324,반려동물 밥그릇
1023,컨실러
1024,쿠션/팩트
1025,파우더/팩트
1026,파운데이션
1027,BB/CC크림
639,식물영양제/비료
640,살충제
886,여성 등산복
887,등산화
888,스키복
889,보드복
890,기타 여성 스포츠웨어
470,오디오 플레이어
471,오디오 인터페이스
472,CD 플레이어
473,라디오
474,MP3
475,음성 녹음기
476,턴테이블
477,어학학습기
478,기타 음향 액세서리
508,오븐
509,전자레인지
800,유아 욕조
801,유아 스킨케어
424,기타 카메라 악세서리
425,카메라 배터리
426,카메라 충전기
427,카메라 케이스
428,카메라 삼각대
434,기타 태블릿 악세서리
435,태블릿 케이스
436,태블릿 거치대
437,태블릿 키보드
438,애플펜슬
459,기타 휴대폰 악세서리
460,휴대폰 케이스
461,셀카봉
462,휴대폰 거치대
463,보조배터리
464,휴대폰 케이블
465,휴대폰 충전기
1311,강아지 치아 용품
1312,고양이 치아 용품
1317,강아지 의류
1318,강아지 장난감
1319,고양이 의류
1320,고양이 장난감
1321,캣타워
1322,스크래쳐
757,아동 스키복
758,아동 스키용품
759,아동용 고글
760,아동 수영복
761,아동 아쿠아슈즈
762,기타 아동 스포츠 용품
721,방향제
722,제습제
723,탈취제
1389,기타 건강기능식품
516,인덕션
517,가스레인지
518,하이라이터
1421,화물 트레일러
1422,RV/이동식 주택
1423,여행 트레일러/캠핑카
1084,풋케어 용품
1085,핸드케어 용품
1337,기타 반려동물 용품
1393,오디오/GPS
1394,ATV 부품
1395,트레일러 부품
1396,차체 부품
1397,엔진/엔진 부품
1398,중장비 부품
1399,스노우모빌 부품
1400,RV/캠핑카 부품
1401,보트 부품
1402,변속기
1403,드라이브트레인
1404,기타 차량 부품/액세서리
1405,오토바이 부품
1406,기타 차량 악세서리
1290,커피 교환권
1291,편의점 교환권
1292,치킨 교환권
1293,기타 교환권
1279,워터파크 티켓
1280,놀이공원 티켓
